Obs,ID,species,treatment ,HHMMSS,FTime,EBal?,Photo,Cond,WUE,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,14_3,BELE,,10:09:18,286.9999936,0,1.657710573,0.03483438,47.58834729,312.6135796,0.501442396,1.368611271,17.24982643,6,1.420000017,0.5,2.840000033,17.86367035,17.24982643,17.51456261,400.0515137,397.8219299,5.776427269,6.374577045,26.7823658,29.55568314,499.7871094,1999.298096,736.3787842,95.21440887,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832978516,0.000501442,290.3998264,291.0136703,319.8876882,3.493039855,1.975562856,20.7485703,14.37399325,17.55674839,2.014243326,0.034412292,0.606951585,1.407291741,0.02154521,29.76531719,0.785812837,30.62151874,397.0339337,0.001278521
2,14_3,BELE,,10:09:19,286.9999936,0,1.657710573,0.03483438,47.58834729,312.6135796,0.501442396,1.368611271,17.24982643,6,1.420000017,0.5,2.840000033,17.86367035,17.24982643,17.51456261,400.0515137,397.8219299,5.776427269,6.374577045,26.7823658,29.55568314,499.7871094,1999.298096,736.3787842,95.21440887,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832978516,0.000501442,290.3998264,291.0136703,319.8876882,3.493039855,1.975562856,20.7485703,14.37399325,17.55674839,2.014243326,0.034412292,0.606951585,1.407291741,0.02154521,29.76531719,0.785812837,30.62151874,397.0339337,0.001278521
3,14_3,BELE,,10:09:20,287.9999936,0,1.620866084,0.034865876,46.48860921,314.3968151,0.502092073,1.369160377,17.25478745,6,1.420000017,0.5,2.840000033,17.86326599,17.25478745,17.51407051,400.0379639,397.8522339,5.776365757,6.375303745,26.78283501,29.55988693,499.7756958,1999.252319,737.7263794,95.2146759,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832959493,0.000502092,290.4047874,291.013266,319.8803639,3.491954836,1.976182857,20.75502372,14.37971998,17.55902672,2.014532924,0.034443029,0.60702248,1.407510444,0.021564488,29.93519085,0.790235138,30.61596605,397.0817518,0.001249727
4,14_3,BELE,,10:09:20,288.9999935,0,1.610251187,0.034534488,46.62733633,314.1933141,0.497715068,1.370091259,17.25947762,6,1.420000017,0.5,2.840000033,17.86386299,17.25947762,17.51433182,400.0401001,397.8691711,5.777947903,6.371673107,26.789217,29.54199791,499.7703857,1999.178345,738.8545532,95.21485138,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832950643,0.000497715,290.4094776,291.013863,319.868528,3.493518899,1.976769167,20.76114323,14.38947012,17.5616703,2.014868996,0.034119593,0.606677908,1.408191088,0.021361637,29.9158697,0.789690021,30.58129616,397.1037348,0.001240068
5,14_3,BELE,,10:09:21,289.9999935,0,1.626362286,0.034319932,47.38827239,312.9378464,0.494766435,1.370387157,17.2586174,6,1.420000017,0.5,2.840000033,17.86419106,17.2586174,17.51435089,400.0145569,397.8257141,5.777238846,6.367450714,26.78531265,29.52174187,499.769043,1999.160767,739.1896973,95.21463013,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832948405,0.000494766,290.4086174,291.0141911,319.8657155,3.495127373,1.976661622,20.76006197,14.39261125,17.56140423,2.014835168,0.033910146,0.606274465,1.408560703,0.021230281,29.7962613,0.78662046,30.55752958,397.0526194,0.001251663
6,14_4,BELE,,10:13:13,522.4999883,0,9.134594073,0.360865928,25.31298569,335.6688705,3.881321093,1.135185553,18.43954849,6,1.420000017,0.5,2.840000033,17.80897903,18.43954849,17.51124954,400.2487488,387.4753723,5.829378605,10.44092083,27.11886215,48.57222366,499.719574,1999.761475,344.5231323,95.20651245,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832865957,0.003881321,291.5895485,290.958979,319.9618288,1.628646664,2.129229212,22.36432317,11.92340234,18.12426376,2.08751891,0.320181869,0.994043659,1.093475251,0.203410213,31.9578625,0.866297304,51.9074357,383.1332238,0.012375678
7,14_4,BELE,,10:13:14,522.9999883,0,9.118173656,0.361151709,25.2474886,335.8057135,3.880564811,1.134170714,18.43158913,6,1.420000017,0.5,2.840000033,17.80871391,18.43158913,17.51049614,400.248291,387.4947205,5.829750538,10.4404583,27.12096214,48.57073593,499.7128601,1999.741455,344.4839478,95.20622253,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832854767,0.003880565,291.5815891,290.9587139,319.9586257,1.62995103,2.12816731,22.35323756,11.91277927,18.12015152,2.086979654,0.320406825,0.993996596,1.092983058,0.203555483,31.97079348,0.866607197,51.93102815,383.1603774,0.012358171
8,14_4,BELE,,10:13:15,523.4999883,0,9.095399252,0.361361738,25.16979053,335.968321,3.87930521,1.133216564,18.42342567,6,1.420000017,0.5,2.840000033,17.80849457,18.42342567,17.50987053,400.2437744,387.5179443,5.829877853,10.43912506,27.12171936,48.56483459,499.7096252,1999.737671,344.1739502,95.20549774,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832849375,0.003879305,291.5734257,290.9584946,319.9580202,1.631570536,2.127078662,22.34197302,11.90284796,18.11596012,2.086430144,0.320572125,0.993862097,1.092568046,0.203662231,31.98603123,0.866974874,51.95034644,383.1944271,0.012330794
9,14_4,BELE,,10:13:15,524.4999883,0,9.0980737,0.362314067,25.11101425,336.1135783,3.881072712,1.131092639,18.4082756,6,1.420000017,0.5,2.840000033,17.80857849,18.4082756,17.50958443,400.2890015,387.559021,5.828986168,10.44030094,27.11723518,48.56969833,499.7125549,1999.729492,343.2327576,95.20481873,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832854258,0.003881073,291.5582756,290.9585785,319.9567116,1.632558301,2.125059598,22.32092478,11.88062384,18.10842705,2.085442844,0.321321373,0.993966959,1.091475886,0.204146104,31.99963229,0.867257785,52.00959677,383.2342325,0.012347205
10,14_4,BELE,,10:13:18,526.9999882,0,9.156315945,0.364534984,25.1177976,336.0772799,3.885146723,1.126175082,18.37410736,6,1.420000017,0.5,2.840000033,17.8066597,18.37410736,17.51028824,400.3311462,387.5304565,5.82851696,10.44429874,27.11804199,48.59365463,499.7509766,1999.637085,341.2209167,95.20381165,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832918294,0.003885147,291.5241074,290.9566597,319.9419264,1.634348573,2.120512133,22.27339532,11.82909658,18.09038353,2.083079692,0.323066954,0.99433705,1.088742641,0.205273566,31.99583805,0.867228044,52.15001726,383.1779825,0.012461625
