Obs,ID,species,treatment,HHMMSS,FTime,EBal?,Photo,Cond,WUE,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,15_1,CADE,open,10:11:29,592.4999868,0,4.032664058,0.047624562,84.67613955,244.2519116,1.163182474,2.303329219,29.05837822,6,1.420000017,1,2.840000033,25.53014565,29.05837822,23.72553635,399.7301636,394.3357239,16.73940468,18.11116982,48.78332138,52.78102875,499.5531006,2000.071289,1428.46875,95.63432312,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832588501,0.001163182,302.2083782,298.6801456,320.0113991,2.571892187,4.035378685,42.19592457,24.08475476,27.29426193,3.641485942,0.046839107,1.732049466,1.909436476,0.029344011,23.35886623,0.619400924,42.11762369,392.4187885,0.004328188
2,15_1,CADE,open,10:11:30,593.4999867,0,4.034142075,0.047826402,84.34968775,244.8269545,1.163962406,2.295382099,29.02601433,6,1.420000017,1,2.840000033,25.52568436,29.02601433,23.72170448,399.7532654,394.35672,16.7427845,18.11544609,48.80582428,52.80718613,499.5594177,2000.217407,1426.670044,95.63378906,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83259903,0.001163962,302.1760143,298.6756844,320.034778,2.575651036,4.027830849,42.11723585,24.00178976,27.27584934,3.637558462,0.047034331,1.73244875,1.905109711,0.029466608,23.41372932,0.620826125,42.21549707,392.439082,0.004339611
3,15_1,CADE,open,10:11:31,594.4999867,0,4.054677541,0.048042875,84.39706285,244.7788888,1.164723567,2.286801236,28.9899025,6,1.420000017,1,2.840000033,25.521101,28.9899025,23.71743393,399.7667236,394.3453369,16.74378777,18.11730194,48.8219223,52.82684708,499.5748596,2000.33313,1425.840332,95.63356781,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832624766,0.001164724,302.1399025,298.671101,320.0532936,2.579863937,4.01942346,42.02942076,23.91211882,27.25550175,3.633222537,0.047243677,1.732622224,1.900600314,0.029598076,23.40907846,0.620722159,42.31797852,392.4179374,0.004372526
4,15_1,CADE,open,10:11:32,595.4999867,0,4.072611544,0.047955202,84.92533394,243.9630549,1.159999212,2.281674066,28.96700287,6,1.420000017,1,2.840000033,25.51742935,28.96700287,23.71315193,399.7797852,394.3388062,16.74733543,18.11535645,48.84262848,52.83238602,499.5473328,2000.447754,1424.634155,95.63300323,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832578888,0.001159999,302.1170029,298.6674294,320.0716335,2.585106564,4.014100007,41.97400345,23.858647,27.24221611,3.6303939,0.047158894,1.732425942,1.897967958,0.029544832,23.33091961,0.618663573,42.37093461,392.4028817,0.00439753
5,15_1,CADE,open,10:11:33,596.4999867,0,4.11899466,0.048115814,85.60583969,242.8830039,1.160661116,2.275547159,28.9420929,6,1.420000017,1,2.840000033,25.51291084,28.9420929,23.70844269,399.8111572,394.314209,16.75016403,18.11895561,48.86395645,52.85702896,499.5491638,2000.569092,1423.370117,95.6329422,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83258194,0.001160661,302.0920929,298.6629108,320.0910475,2.587842068,4.008316194,41.91355094,23.79459532,27.22750187,3.627263343,0.047314207,1.732769035,1.894494308,0.029642369,23.22761628,0.615963104,42.44763887,392.3562362,0.004456195
6,14_3,BELE,0,10:20:01,1104.499975,0,5.992663151,0.109993551,54.48195005,292.4527229,1.819414406,1.597906333,26.2800312,6,1.420000017,1,2.840000033,23.29615402,26.2800312,21.4641819,399.9242249,391.8705444,17.02050972,19.16380692,56.7013092,63.84138107,499.5707092,2000.513916,1816.97583,95.63188934,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832617849,0.001819414,299.4300312,296.446154,320.0822194,2.335798419,3.430577395,35.8727347,16.70892779,24.78809261,3.139727477,0.105892328,1.832671062,1.307056414,0.066539347,27.96780643,0.746299325,53.88949068,389.0219194,0.008301372
7,14_3,BELE,0,10:20:02,1105.499975,0,6.067648697,0.110287846,55.01647658,291.6007188,1.823465505,1.597347443,26.27906227,6,1.420000017,1,2.840000033,23.29307365,26.27906227,21.46185493,400.0411987,391.8952637,17.0194912,19.16761398,56.70841599,63.8658905,499.556366,2000.547119,1820.370483,95.63181305,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832593943,0.001823466,299.4290623,296.4430737,320.0875319,2.333569165,3.43038112,35.87071091,16.70309693,24.78606796,3.139347903,0.106165058,1.833033677,1.306314225,0.066711648,27.88630543,0.744078191,53.90753706,389.0109941,0.008408297
8,14_3,BELE,0,10:20:03,1105.999975,0,6.123585951,0.1101791,55.57847133,290.6735095,1.822397494,1.59792887,26.28170395,6,1.420000017,1,2.840000033,23.29169464,26.28170395,21.46052933,400.0974731,391.8848572,17.02020645,19.16707802,56.71567154,63.86959839,499.5550232,2000.608887,1822.122314,95.63207245,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832591705,0.001822397,299.4317039,296.4416946,320.0974147,2.33368521,3.430916263,35.87620947,16.70913145,24.7866993,3.139466258,0.106064287,1.832987394,1.306478864,0.066647984,27.79771012,0.741731925,53.89613461,388.9739977,0.008484825
9,14_3,BELE,0,10:20:04,1106.999975,0,6.222315549,0.110347348,56.38844668,289.3630154,1.824092863,1.597073088,26.27898788,6,1.420000017,1,2.840000033,23.28899956,26.27898788,21.45814133,400.2272644,391.8950806,17.02133179,19.17023659,56.72876358,63.89064407,499.5450439,2000.630493,1824.521118,95.63225555,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832575073,0.001824093,299.4289879,296.4389996,320.1008718,2.332897604,3.430366052,35.87038737,16.70015079,24.78399372,3.138959073,0.106220194,1.833292964,1.305666108,0.066746481,27.67243784,0.738368583,53.91612628,388.9372898,0.008625636
10,14_3,BELE,0,10:20:05,1107.999975,0,6.26051355,0.110874614,56.46480582,289.2726199,1.829114125,1.594160573,26.26591301,6,1.420000017,1,2.840000033,23.28634453,26.26591301,21.45599174,400.3077393,391.9271545,17.01815033,19.17298698,56.727314,63.9101181,499.5398254,2000.625,1826.901978,95.63235474,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832566376,0.001829114,299.415913,296.4363445,320.0999928,2.331793028,3.427718466,35.84266512,16.66967814,24.77612877,3.13748512,0.106708669,1.833557893,1.303927227,0.067055095,27.6638218,0.738077514,53.9734536,388.9512062,0.008687505
11,14_4,BELE,0,10:24:06,1349.49997,0,14.27282718,0.585556104,24.37482435,329.830376,4.442814847,0.852036827,23.81309891,6,1.420000017,1,2.840000033,22.28437042,23.81309891,20.46739578,399.9675903,380.7901001,16.83794785,22.05716324,59.64448929,78.13233948,499.4795532,2001.575928,340.0602722,95.63683319,-0.667626977,-0.109911002,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832465922,0.004442815,296.9630989,295.4343704,320.2521413,1.22045574,2.961514068,30.96624982,8.909086579,23.04873466,2.828049828,0.48546259,2.109477241,0.718572586,0.311057508,31.54393265,0.866173716,75.49802518,374.0054816,0.028811617
12,14_4,BELE,0,10:24:06,1349.49997,0,14.27282718,0.585556104,24.37482435,329.830376,4.442814847,0.852036827,23.81309891,6,1.420000017,1,2.840000033,22.28437042,23.81309891,20.46739578,399.9675903,380.7901001,16.83794785,22.05716324,59.64448929,78.13233948,499.4795532,2001.575928,340.0602722,95.63683319,-0.667626977,-0.109911002,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832465922,0.004442815,296.9630989,295.4343704,320.2521413,1.22045574,2.961514068,30.96624982,8.909086579,23.04873466,2.828049828,0.48546259,2.109477241,0.718572586,0.311057508,31.54393265,0.866173716,75.49802518,374.0054816,0.028811617
13,14_4,BELE,0,10:24:07,1350.49997,0,14.29563548,0.585668829,24.40907689,329.7382745,4.440716749,0.851504846,23.808218,6,1.420000017,1,2.840000033,22.2779274,23.808218,20.46166229,399.9629822,380.7597046,16.83697891,22.05361557,59.66449738,78.15048218,499.4922791,2001.202148,339.5747681,95.63691711,-0.667626977,-0.109911002,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832487132,0.004440717,296.958218,295.4279274,320.1923366,1.220648023,2.96064465,30.95713183,8.903516255,23.0430727,2.82708117,0.485540068,2.109139804,0.717941366,0.311108402,31.53515202,0.866000972,75.50709794,373.9642441,0.028864309
14,14_4,BELE,0,10:24:08,1350.49997,0,14.29563548,0.585668829,24.40907689,329.7382745,4.440716749,0.851504846,23.808218,6,1.420000017,1,2.840000033,22.2779274,23.808218,20.46166229,399.9629822,380.7597046,16.83697891,22.05361557,59.66449738,78.15048218,499.4922791,2001.202148,339.5747681,95.63691711,-0.667626977,-0.109911002,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832487132,0.004440717,296.958218,295.4279274,320.1923366,1.220648023,2.96064465,30.95713183,8.903516255,23.0430727,2.82708117,0.485540068,2.109139804,0.717941366,0.311108402,31.53515202,0.866000972,75.50709794,373.9642441,0.028864309
15,14_4,BELE,0,10:24:09,1351.99997,0,14.30794738,0.585822231,24.42370163,329.7190237,4.439465034,0.851082216,23.80328941,6,1.420000017,1,2.840000033,22.26952171,23.80328941,20.45212364,399.984375,380.7671509,16.83384895,22.04895592,59.68366623,78.17359924,499.5003357,2000.608887,339.2741089,95.63648987,-0.667626977,-0.109911002,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832500559,0.004439465,296.9532894,295.4195217,320.0974147,1.219773568,2.959766965,30.94809282,8.899136902,23.03640556,2.825940918,0.485645497,2.108684749,0.717256169,0.311177658,31.53317007,0.865933479,75.5132639,373.9658379,0.028891404
