Obs,ID,species ,treatment,HHMMSS,FTime,EBal?,Photo,Cond,WUE,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,14_3,BELE,,10:08:28,338.9999924,0,3.504201626,0.073955181,47.3827738,303.2300073,1.842713756,2.400947716,25.7849102,6,1.420000017,0.5,2.55600003,25.34555244,25.7849102,25.12005424,400.2706299,395.1873474,7.52431345,9.715973854,22.20374298,28.67118454,499.5691833,1999.125488,1558.692261,95.7806778,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832615306,0.001842714,298.9349102,298.4955524,319.860071,2.651975466,3.331550277,34.78311444,25.06714059,25.56523132,3.288419056,0.071875538,0.930602561,2.357816495,0.045104537,29.04357563,0.767306973,28.3657355,393.3365367,0.002527079
2,14_3,BELE,,10:08:29,338.9999924,0,3.504201626,0.073955181,47.3827738,303.2300073,1.842713756,2.400947716,25.7849102,6,1.420000017,0.5,2.55600003,25.34555244,25.7849102,25.12005424,400.2706299,395.1873474,7.52431345,9.715973854,22.20374298,28.67118454,499.5691833,1999.125488,1558.692261,95.7806778,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832615306,0.001842714,298.9349102,298.4955524,319.860071,2.651975466,3.331550277,34.78311444,25.06714059,25.56523132,3.288419056,0.071875538,0.930602561,2.357816495,0.045104537,29.04357563,0.767306973,28.3657355,393.3365367,0.002527079
3,14_3,BELE,,10:08:30,339.9999924,0,3.453307662,0.073877945,46.74341797,304.2949161,1.84137075,2.401622323,25.78807831,6,1.420000017,0.5,2.55600003,25.35802269,25.78807831,25.11966133,400.2503967,395.2287598,7.525410175,9.715485573,22.19046402,28.64842224,499.5666199,1999.547852,1559.145874,95.78044891,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832611033,0.001841371,298.9380783,298.5080227,319.9276491,2.654613131,3.332175893,34.78972933,25.07424376,25.5730505,3.28994584,0.071802582,0.93055357,2.359392271,0.045058569,29.14550366,0.769920985,28.35673267,393.4048297,0.002489154
4,14_3,BELE,,10:08:31,340.9999924,0,3.441459614,0.073784834,46.64182892,304.4935838,1.838599189,2.400979228,25.78298569,6,1.420000017,0.5,2.55600003,25.35709381,25.78298569,25.11808586,400.2654419,395.2592773,7.524858952,9.711648941,22.19018364,28.63884735,499.56604,1999.964722,1559.447876,95.78096008,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832610067,0.001838599,298.9329857,298.5070938,319.9943483,2.657320905,3.331170287,34.77904465,25.06739571,25.57003975,3.289357883,0.071714626,0.93019106,2.359166824,0.04500315,29.16468779,0.770364167,28.35229062,393.441605,0.002479994
5,14_3,BELE,,10:08:31,341.4999924,0,3.427436852,0.073800174,46.44212446,304.8478083,1.838390633,2.400227456,25.77866745,6,1.420000017,0.5,2.55600003,25.35593224,25.77866745,25.1180954,400.2790222,395.2897949,7.524107456,9.710623741,22.18943977,28.63772392,499.5724182,2000.028687,1559.40332,95.78070068,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832620697,0.001838391,298.9286674,298.5059322,320.0045827,2.657969854,3.330317802,34.77023846,25.05961471,25.56729984,3.288822898,0.071729117,0.930090346,2.358732552,0.04501228,29.19853668,0.771200806,28.35716791,393.479529,0.002470075
6,14-4,BELE,,10:16:40,830.9999814,0,7.689679597,0.38335833,20.05872572,341.4416002,6.007948346,1.68538979,24.59898758,6,1.420000017,0.5,2.55600003,25.12841225,24.59898758,25.11301994,400.0113525,387.9767151,7.707539082,14.81610107,23.03962708,44.28877258,499.5891418,1999.76123,121.5849762,95.77806854,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83264857,0.006007948,297.7489876,298.2784122,319.9617897,0.694297083,3.104447335,32.41292481,17.59682374,24.86369991,3.15393081,0.333359796,1.419057544,1.734873266,0.212330697,32.70261698,0.880056939,51.64926686,383.9152646,0.010345156
7,14-4,BELE,,10:16:41,831.4999814,0,7.681298691,0.383098501,20.05045351,341.4528363,6.005660838,1.685743644,24.59940147,6,1.420000017,0.5,2.55600003,25.12813759,24.59940147,25.11348724,399.9960938,387.9725952,7.707318306,14.81320763,23.03934669,44.28085327,499.5882263,1999.778809,118.5267105,95.77807617,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832647044,0.006005661,297.7494015,298.2781376,319.9646022,0.695386698,3.104524172,32.41372448,17.60051685,24.86376953,3.153943914,0.333163305,1.418780528,1.735163386,0.212203154,32.70369576,0.880095245,51.63608905,383.9155713,0.010331236
8,14-4,BELE,,10:16:41,831.9999814,0,7.68797004,0.383069881,20.06936702,341.3974753,6.004588303,1.68555907,24.5981369,6,1.420000017,0.5,2.55600003,25.12757111,24.5981369,25.11356926,399.9797058,387.9487915,7.707977295,14.81264591,23.04215431,44.28078079,499.5851135,1999.787842,116.2602158,95.77832031,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832641856,0.006004588,297.7481369,298.2775711,319.9660475,0.696032111,3.104289415,32.41119081,17.5985449,24.862854,3.15377159,0.33314166,1.418730345,1.735041245,0.212189104,32.69847674,0.880006544,51.63733313,383.888244,0.010341194
9,14-4,BELE,,10:16:42,832.9999814,0,7.711037144,0.382700579,20.14900829,341.2242872,6.000061768,1.685705471,24.59573746,6,1.420000017,0.5,2.55600003,25.12737846,24.59573746,25.11429977,399.9691162,387.9134827,7.707525253,14.80651665,23.04098892,44.2628212,499.6108398,1999.771729,114.6628265,95.77799988,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832684733,0.006000062,297.7457375,298.2773785,319.9634694,0.698560537,3.103844021,32.40664897,17.60013232,24.86155796,3.153527659,0.332862316,1.41813855,1.735389109,0.212007786,32.68177974,0.879640184,51.62037732,383.8407518,0.010370099
10,14-4,BELE,,10:16:43,833.9999814,0,7.782863938,0.382351626,20.35525262,340.8166761,5.995475266,1.685757591,24.59360886,6,1.420000017,0.5,2.55600003,25.12624359,24.59360886,25.11458588,400.0081787,387.8684082,7.708085537,14.80188179,23.04416656,44.25185013,499.5968933,1999.739746,115.5657578,95.77777863,0.51572901,0.075181603,0,0,0,0,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832661489,0.005995475,297.7436089,298.2762436,319.9583522,0.700932348,3.103448949,32.40259895,17.60071716,24.85992622,3.153220568,0.332598301,1.417691357,1.735529211,0.211836423,32.64266415,0.878691507,51.60719135,383.7577407,0.010466284
